key,name,unsettling_description,original_description
0,House Plant,"The small flower buds have a sweet, heady aroma.",Adds some character to your home or farm.
1,House Plant,The underside of each leaf is oddly sticky.,Adds some character to your home or farm.
2,House Plant,"Feed me, Seymour!",Adds some character to your home or farm.
3,House Plant,Exists in symbiosis with a colony of ants. The plant's stems are crawling with them.,Adds some character to your home or farm.
4,House Plant,The edges of its broad leaves are razor-sharp.,Adds some character to your home or farm.
5,House Plant,Transporting this species across government borders carries a hefty fine.,Adds some character to your home or farm.
6,House Plant,It doesn't trust you to water it.,Adds some character to your home or farm.
7,House Plant,The lush potted grass provides a good hiding spot for illicit items.,Adds some character to your home or farm.
8,Scarecrow,A miracle of modern taxidermy.,"Prevents crows from attacking your crops. Has a limited radius (about 8 ""tiles"")."
9,Lightning Rod,Packages the immense energy of lightning storms in a convenient format.,Collects energy from lightning storms and turns it into battery packs.
10,Bee House,Cute bee vomit factories for your farm. The enslaved insects produce honey in all seasons but winter.,Place outside and wait for delicious honey! (Except in Winter).
12,Keg,TODO,Place a fruit or vegetable in here. Eventually it will turn into a beverage.
13,Furnace,Turns ore and coal into metal bars. Is it big enough to fit a person inside?,Turns ore and coal into metal bars.
15,Preserves Jar,TODO,Turns vegetables into pickles and fruit into jam.
16,Cheese Press,Congeals microbe-riddled mammary liquids into a solidified mass.,Turns milk into cheese.
17,Loom,Turns stolen sheep fur into fabric!,Turns raw wool into fine cloth.
19,Oil Maker,Squeezes the fat from organic materials to make lubricant. The mayor appreciates its work.,Makes gourmet truffle oil.
20,Recycling Machine,TODO,Turns fishing trash into resources.
21,Crystalarium,"Advanced replicator technology. For better or for worse, it only works on shiny rocks.",Insert a gem of your choice and it will grow copies.
22,Table Piece L,UNOBTAINABLE,The left side of a big table.
23,Table Piece R,UNOBTAINABLE,The right side of a big table
24,Mayonnaise Machine,Pulverizes unborn critters and blends them with oil to make sandwich spread.,Turns eggs into mayonnaise.
25,Seed Maker,Sucks the life from your crops so you can grow them anew.,Place crops inside to produce a varying amount of seeds. Doesn't work with fruit tree crops.
26,Wood Chair,UNOBTAINABLE,A chair that can be oriented in 4 different ways.
27,Wood Chair,UNOBTAINABLE,A chair that can be oriented in 4 different ways.
28,Skeleton Model,A freshly harvested skeleton. Makes a useful tool for learning anatomy.,A model of a skeleton.
29,Obelisk,UNOBTAINABLE,A sinister-looking portal that radiates with evil energy.
31,Chicken Statue,Flammable.,A wooden statue of a chicken.
32,Stone Cairn,Stones like these are often used as landmarks or burial monuments.,A decorative piece for your farm.
33,Suit Of Armor,Purely decorative. There's no one inside... wait...,A decorative piece for your farm.
34,Sign Of The Vessel,Using this as decoration only would be dangerous blasphemy.,A decorative piece for your farm.
35,Basic Log,TODO,A decorative piece for your farm.
36,Lawn Flamingo,"Unusually life-like. The material seems artificial, but you can't be sure.",A decorative piece for your farm.
37,Wood Sign,Use an item on this to trap its image inside. The item won't be consumed.,Use an item on this to change what's displayed. The item won't be consumed.
38,Stone Sign,Use an item on this to trap its image inside. The item won't be consumed.,Use an item on this to change what's displayed. The item won't be consumed.
40,Big Green Cane,TODO,A decorative piece for your farm.
41,Green Canes,TODO,A decorative piece for your farm.
42,Mixed Cane,TODO,A decorative piece for your farm.
43,Red Canes,TODO,A decorative piece for your farm.
44,Big Red Cane,TODO,A decorative piece for your farm.
45,Ornamental Hay Bale,Decorative animal fodder.,A decorative piece for your farm.
46,Log Section,Count the rings to learn how old this tree had grown before being killed.,A decorative piece for your farm.
47,Grave Stone,It's best not to ask where this came from...,A decorative piece for your farm.
48,Seasonal Decor,"It changes form every season, but you're not sure how.",This decoration changes with the seasons.
52,Stone Frog,Medusa got to the poor critter.,Garden art for your farm.
53,Stone Parrot,Medusa got to the poor critter.,Garden art for your farm.
54,Stone Owl,Medusa got to the poor critter.,Garden art for your farm.
55,Stone Junimo,Medusa got to the poor critter.,Garden art for your farm.
56,Slime Ball,TODO,Filled with slime.
62,Garden Pot,TODO,"Grows crops from any season when indoors. Outdoors, it can only house seasonal crops."
64,Bookcase,UNOBTAINABLE,A home for books.
65,Fancy Table,UNOBTAINABLE,A finely crafted round table.
66,Ancient Table,UNOBTAINABLE,It's covered in the thickest cobwebs.
67,Ancient Stool,UNOBTAINABLE,It smells like Grandma's apartment.
