key,name,unsettling_description,original_description
504,Sneakers,"Stylish, but they lack traction on muddy, slimy, or bloody surfaces.",A little flimsy... but fashionable!
505,Rubber Boots,Protects you... against lightning.,Protection from the elements.
506,Leather Boots,Poor cow couldn't save himself.,The leather is very supple.
507,Work Boots,Steel-toed to inflict hell on the shins of your enemies.,Steel-toed for extra protection.
508,Combat Boots,TODO,Reinforced with iron mesh.
509,Tundra Boots,TODO,The fuzzy lining keeps your ankles so warm.
510,Thermal Boots,Keep your feet sweaty enough to be at risk of freezing even with the insulation.,Designed with extreme weather in mind.
511,Dark Boots,Matte black leather boots that squish and scream as you walk.,Made from thick black leather.
512,Firewalker Boots,"Yeah, ""fire"" boots. They're covered in monster blood.",It's said these can withstand the hottest magma.
513,Genie Shoes,Nothing happens when they are rubbed.,A curious energy permeates the fabric.
514,Space Boots,TODO,An iridium weave gives them a purple sheen.
515,Cowboy Boots,UNOBTAINABLE,It's the height of country fashion.
804,Emily's Magic Boots,TODO,Made with love by Emily. 100% compostable!
806,Leprechaun Shoes,A little tight on the toes.,The buckle's made of solid gold.
