key,name,unsettling_description,original_description
0,Weeds,UNOBTAINABLE,A bunch of obnoxious weeds.
2,Stone,UNOBTAINABLE,A useful material when broken with the Pickaxe.
4,Stone,UNOBTAINABLE,A useful material when chopped with the axe.
16,Wild Horseradish,"A hotly pungent, fleshy root. Crushing or grinding it releases the flavor and heat.",A spicy root found in the spring.
18,Daffodil,TODO,A traditional spring flower that makes a nice gift.
20,Leek,Some wild animal marked its territory on this one.,A tasty relative of the onion.
22,Dandelion,The leaves are a powerful diuretic; eating them increases urine production.,"Not the prettiest flower, but the leaves make a good salad."
24,Parsnip,"It has all the flavor of a bleached, long-dead carrot.",A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.
30,Lumber,UNOBTAINABLE,A versatile resource used for building and fuel.
60,Emerald,This gem is thought to guard against memory loss. A thoughtful gift for divorcees.,A precious stone with a brilliant green color.
62,Aquamarine,Thought to protect against seasickness and tragic sailing accidents.,A shimmery blue-green gem.
64,Ruby,"The ""pigeon's blood"" variety of this gem is its most sought-after color variant.",A precious stone that is sought after for its rich color and beautiful luster.
66,Amethyst,Some sources suggest that this stone is used to stabilize mental disorders.,A purple variant of quartz.
68,Topaz,"When worn as a necklace, this gemstone is believed to drive away sadness.",Fairly common but still prized for its beauty.
70,Jade,"In many cultures, this stone has a strong association with the dead.",A pale green ornamental stone.
71,Trimmed Lucky Purple Shorts,The mayor's used silk shorts. They look better on you than on Marnie's floor.,Purple silk shorts trimmed in luxurious gold...
72,Diamond,This one seems to be clear of blood.,A rare and valuable gem.
74,Prismatic Shard,TODO,A very rare and powerful substance with unknown origins.
75,Stone,UNOBTAINABLE,...
76,Stone,UNOBTAINABLE,...
77,Stone,UNOBTAINABLE,...
78,Cave Carrot,A dirtier variety of carrot. Fulfills many needs of a miner.,A starchy snack found in caves. It helps miners work longer.
79,Secret Note,TODO,"It's old and crumpled, but if you look closely you can make out the details..."
80,Quartz,TODO,A clear crystal commonly found in caves and mines.
82,Fire Quartz,TODO,A glowing red crystal commonly found near hot lava.
84,Frozen Tear,The last remnant of some long forgotten creature.,A crystal fabled to be the frozen tears of a yeti.
86,Earth Crystal,An item commonly gifted by cheapskates.,A resinous substance found near the surface.
88,Coconut,"Covered in rough hair, it provides both milk and meat.",A seed of the coconut palm. It has many culinary uses.
90,Cactus Fruit,You'd have to spend a long time under the desert sun to consider this fruit edible.,The sweet fruit of the prickly pear cactus.
92,Sap,Tree blood. It's still sticky.,A fluid obtained from trees.
93,Torch,"Flickers suddenly from time to time, even when there is no breeze.",Provides a modest amount of light.
94,Spirit Torch,UNOBTAINABLE,It's unclear where the blue color comes from...
96,Dwarf Scroll I,"A scroll written in an ancient language... it probably isn't calling for genocide of surface dwellers, right?",A yellowed scroll of parchment filled with dwarven script. This one's tied with a red bow.
97,Dwarf Scroll II,"A scroll written in an ancient language, describing a species that never expected to become endangered.",A yellowed scroll of parchment filled with dwarven script. This one's tied with a green ribbon.
98,Dwarf Scroll III,"A scroll written in an ancient language, the writer unaware their days were numbered.",A yellowed scroll of parchment filled with dwarven script. This one's tied with a blue rope.
99,Dwarf Scroll IV,A scroll written in an ancient language. Did they know the end was coming?,A yellowed scroll of parchment filled with dwarven script. This one's tied with a golden chain.
100,Chipped Amphora,Hopefully not used in any sacrificial rituals.,An ancient vessel made of ceramic material. Used to transport both dry and wet goods.
101,Arrowhead,TODO,A crudely fashioned point used for hunting.
102,Lost Book,NON-INVENTORY,Writings from a wide variety of time periods.
103,Ancient Doll,"When left out of sight, this doll is rumored to change position on its own.","An ancient doll covered in grime. This doll may have been used as a toy, a decoration, or a prop in some kind of ritual."
104,Elvish Jewelry,Legend says they are enchanted to be as warm as their owners. It's cold to the touch.,Dirty but still beautiful. On the side is a flowing script thought by some to be the ancient language of the elves. No Elvish bones have ever been found.
105,Chewing Stick,You can still taste what the last person who used it had for lunch.,Ancient people chewed on these to keep their teeth clean.
106,Ornamental Fan,TODO,This exquisute fan most likely belonged to a noblewoman. Historians believe that the valley was a popular sixth-era vacation spot for the wealthy.
107,Dinosaur Egg,Perhaps it can still hatch... what could go wrong?,A giant dino egg... The entire shell is still intact!
108,Rare Disc,TODO,"A heavy black disc studded with peculiar red stones. When you hold it, you're overwhelmed with a feeling of dread."
109,Ancient Sword,"The sword may be in bad shape, but it has far outlived its owner.","It's the remains of an ancient sword. Most of the blade has turned to rust, but the hilt is very finely crafted."
110,Rusty Spoon,"Despite its normal shape, I wouldn't use it for breakfast.","A plain old spoon, probably ten years old. Not very interesting."
111,Rusty Spur,TODO,An old spur that was once attached to a cowboy's boot. People must have been raising animals in this area for many generations.
112,Rusty Cog,"It reminds you of your old workplace, somehow.",A well preserved cog that must have been part of some ancient machine. This could be dwarven technology.
113,Chicken Statue,A mummified chicken in pristine condition. When you shake it you can hear small bones rattling inside.,It's a statue of a chicken on a bronze base. The ancient people of this area must have been very fond of chickens.
114,Ancient Seed,TODO,It's a dry old seed from some ancient plant. By all appearances it's long since dead...
115,Prehistoric Tool,TODO,Some kind of gnarly old digging tool.
116,Dried Starfish,"Some believe that starfish scream as the sun dries them out, but only fish can hear their piercing cries.",A starfish from the primordial ocean. It's an unusually pristine specimen!
117,Anchor,TODO,It may have belonged to ancient pirates.
118,Glass Shards,They almost look like candy.,A mixture of glass shards smoothed by centuries of ocean surf. These could have belonged to an ancient mosaic or necklace.
119,Bone Flute,"Imagine blowing some ancient creature's dirty, bacteria-filled tibia. Bone flute!",It's a prehistoric wind instrument carved from an animal's bone. It produces an eerie tone.
120,Prehistoric Handaxe,TODO,"One of the earliest tools employed by humans. This ""crude"" tool was created by striking one rock with another to form a sharp edge."
121,Dwarvish Helm,"It's sturdy, but even the best armor didn't prevent their near-extinction.",It's one of the helmets commonly worn by dwarves. The thick metal plating protects them from falling debris and stalactites.
122,Dwarf Gadget,"The strange crystalline screen stays lit, but shows only static.","It's a piece of the advanced technology once known to the dwarves. It's still glowing and humming, but you're unable to understand how it works."
123,Ancient Drum,Looks like skin stretched over bone. Nice sound though.,"It's a drum made from wood and animal skin. It has a low, reverberating tone."
